"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.043187084,      -1.694204993,      -2.438389637,      0.4221730032,      -7.633082901
          0,           0,          64,      -5.055576338,      -1.699507591,      -2.463699875,      0.4096533572,       -7.63388118
          0,           0,          65,      -5.067917983,      -1.704703043,      -2.492694122,      0.3965315747,      -7.634787501
          0,           0,          66,      -5.080747753,      -1.709821494,      -2.525907221,      0.3821489145,      -7.635705347
          0,           0,          67,      -5.094033076,      -1.714878204,      -2.562934101,      0.3666647279,       -7.63637922
          0,           0,          68,      -5.107603065,      -1.719878723,      -2.602421298,      0.3505621891,      -7.636459452
          0,           0,          69,      -5.121499089,      -1.724827701,      -2.642096072,      0.3341707289,      -7.636138834
          0,           0,          70,      -5.136058693,      -1.729734116,      -2.678942969,       0.317444121,      -7.635934132
          0,           0,          71,      -5.151756323,      -1.734609521,       -2.70981639,       0.300040886,      -7.635983513
          0,           0,          72,      -5.168953707,      -1.739462037,      -2.732470825,      0.2815924274,      -7.636237352
          0,           0,          73,      -5.187712105,      -1.744291159,      -2.746546764,       0.261964264,      -7.636635813
          0,           0,          74,      -5.207749514,      -1.749086946,      -2.753797909,      0.2413610515,      -7.637130299
          0,           0,          75,      -5.228525291,      -1.753834074,      -2.757301664,      0.2202624621,      -7.619939587
          0,           0,          76,      -5.190627657,      -1.762961605,      -2.684387676,      0.2676963565,      -7.638709794
          0,           0,          77,      -5.271338059,      -1.767605343,      -2.761774355,      0.1784426696,      -7.638521407
          0,           0,          78,      -5.295526397,      -1.771998363,      -2.778603369,       0.153847874,      -7.637967278
          0,           0,          79,      -5.310730609,       -1.77639062,      -2.787791294,      0.1387356148,      -7.637371768
          0,           0,          80,      -5.326250418,      -1.780744819,      -2.803665701,      0.1229431385,      -7.636960457
          0,           0,          81,      -5.340098873,      -1.785041801,      -2.823778408,      0.1085661851,       -7.63671389
          0,           0,          82,      -5.351332914,      -1.789280663,      -2.845567789,     0.09659207172,      -7.636606723
          0,           0,          83,      -5.360289998,       -1.79346264,      -2.868190801,     0.08680799858,      -7.636598154
          0,           0,          84,       -5.36757589,      -1.797587635,      -2.891451214,     0.07862650104,      -7.636645338
          0,           0,          85,      -5.373825122,      -1.801655676,      -2.915211458,     0.07139714979,      -7.636743806
          0,           0,          86,      -5.379645276,      -1.805668216,      -2.939259498,     0.06453421596,      -7.636816635
          0,           0,          87,       -5.38552856,      -1.809628304,       -2.96323802,      0.0575839248,      -7.636788151
          0,           0,          88,      -5.391812701,      -1.813540099,      -2.986597451,     0.05025157098,      -7.636455939
          0,           0,          89,      -5.398695287,      -1.817408176,      -3.008630649,     0.04238836334,      -7.635725124
          0,           0,          90,      -5.406264622,      -1.821236916,      -3.028600751,     0.03395003809,      -7.634729963
          0,           0,          91,      -5.414531509,      -1.825030096,      -3.045939838,     0.02495097623,      -7.633727283
          0,           0,          92,      -5.423453284,      -1.828790631,      -3.060445481,     0.01543400995,      -7.632842247
          0,           0,          93,      -5.432941569,      -1.832520386,      -3.072373735,    0.005465813226,      -7.632078658
          0,           0,          94,       -5.44284247,      -1.836220166,       -3.08234433,   -0.004831485932,      -7.614285099
          0,           0,          95,      -5.398148666,      -1.843449863,      -3.013487662,     0.05101700845,      -7.630590889
          0,           0,          96,      -5.465872104,      -1.847145164,      -3.096084259,     -0.0279352276,      -7.613625726
          0,           0,          97,      -5.424872966,      -1.854157145,      -3.031598277,     0.02450834948,      -7.629364849
